job_title,salary_range,company_profile,requirements,fraudulent
Instant Joining Job,21380 per month,Company promises instant returns,"No interview, just register online",1
Marketing Manager,38977 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Get Paid Daily From Home,15733 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Data Entry Without Experience,44187 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Marketing Manager,52554 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Sales Associate,74417 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Sales Associate,80293 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Graphic Designer,36903 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Network Administrator,40174 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Instant Joining Job,27331 per month,No verified contact details available,Work 2 hours a day and earn big,1
Graphic Designer,32414 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Part-Time Typing Job,36835 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Get Paid Daily From Home,20993 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Graphic Designer,50954 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Network Administrator,75719 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Graphic Designer,35758 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Online Form Filling Job,48620 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Work From Home - Earn $5000 Weekly,39129 per month,Company promises instant returns,"No experience required, just internet access",1
Work From Home - Earn $5000 Weekly,43860 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Software Engineer,81958 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Easy Income Job,13011 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Sales Associate,73094 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Freelance Job Without Skills,11547 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Software Engineer,78796 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Part-Time Typing Job,43572 per month,Newly launched company offering huge income,"No interview, just register online",1
Easy Income Job,14649 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
HR Specialist,89099 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Urgent Hiring - No Interview,26365 per month,Company promises instant returns,"Immediate start, limited positions available",1
HR Specialist,80224 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Online Form Filling Job,49251 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Get Paid Daily From Home,49415 per month,"No official address, only online presence",Click ads and get paid instantly,1
Financial Analyst,44914 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Graphic Designer,55435 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,34964 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Online Form Filling Job,46742 per month,"No official address, only online presence",Click ads and get paid instantly,1
Customer Support Executive,70961 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Urgent Hiring - No Interview,19772 per month,No verified contact details available,"No interview, just register online",1
Freelance Job Without Skills,33173 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Network Administrator,82839 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Web Developer,79509 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
International Job With Free Visa,16401 per month,No verified contact details available,"Immediate start, limited positions available",1
Work From Home - Earn $5000 Weekly,46515 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Customer Support Executive,41390 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Data Entry Without Experience,16727 per month,No verified contact details available,"No interview, just register online",1
Marketing Manager,41222 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Get Paid Daily From Home,26726 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
HR Specialist,41551 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Urgent Hiring - No Interview,26632 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Instant Joining Job,38614 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Part-Time Typing Job,46087 per month,"No official address, only online presence","Immediate start, limited positions available",1
Network Administrator,74702 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Easy Income Job,10012 per month,No verified contact details available,"No interview, just register online",1
Work From Home - Earn $5000 Weekly,41961 per month,"No official address, only online presence","No experience required, just internet access",1
Get Paid Daily From Home,30513 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Get Paid Daily From Home,17518 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Software Engineer,81778 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Marketing Manager,88570 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Sales Associate,80490 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Easy Income Job,31382 per month,Newly launched company offering huge income,"No interview, just register online",1
Easy Income Job,13681 per month,Company promises instant returns,"No interview, just register online",1
Software Engineer,43076 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Freelance Job Without Skills,28044 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Urgent Hiring - No Interview,43278 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Financial Analyst,63317 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Easy Income Job,10915 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Get Paid Daily From Home,39128 per month,No verified contact details available,"No experience required, just internet access",1
Web Developer,45893 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,51538 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Financial Analyst,31662 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
