job_title,salary_range,company_profile,requirements,fraudulent
Crypto Analyst,$2000 per month,"Earn money easily by working from home, no registration fees.",Work at your own time and earn unlimited income.,0
Online Survey Filler,$5000 bonus after first month,Reputed organization hiring urgently for remote positions.,Work at your own time and earn unlimited income.,0
Data Analyst,"$90,000 - $110,000",A global software firm focusing on enterprise automation.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Data Entry Clerk,$2000 per month,Reputed organization hiring urgently for remote positions.,"Good communication skills, internet connection required.",0
Project Manager,"$40,000 - $60,000",A global software firm focusing on enterprise automation.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Network Administrator,"$60,000 - $80,000",Well-established healthcare data analytics organization.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
UX Designer,"$70,000 - $90,000",Well-established healthcare data analytics organization.,"Experience with Java, Spring Boot, and REST APIs.",1
System Architect,"$50,000 - $70,000",Recognized financial services provider headquartered in New York.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
UX Designer,"$70,000 - $90,000",Well-established healthcare data analytics organization.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
DevOps Specialist,"$60,000 - $80,000",Mid-sized e-commerce company serving international clients.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
System Architect,"$50,000 - $70,000",Mid-sized e-commerce company serving international clients.,Excellent communication and project management skills.,1
Cloud Engineer,"$50,000 - $70,000",A global software firm focusing on enterprise automation.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
UX Designer,"$60,000 - $80,000",Mid-sized e-commerce company serving international clients.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Software Engineer,"$60,000 - $80,000",A global software firm focusing on enterprise automation.,Excellent communication and project management skills.,1
System Architect,"$50,000 - $70,000",Well-established healthcare data analytics organization.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Web Developer,"$60,000 - $80,000",A global software firm focusing on enterprise automation.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Virtual Assistant - No Experience,$5000 bonus after first month,Startup with guaranteed income and flexible hours.,No experience required. Must have smartphone or laptop.,0
Data Entry Clerk,$5000 bonus after first month,"Earn money easily by working from home, no registration fees.",No experience required. Must have smartphone or laptop.,0
Network Administrator,"$40,000 - $60,000",Well-established healthcare data analytics organization.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
